Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,RL,70,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Con1Norm,Con2Norm,1Fam,1Story,5,5,YearBuild_1965,YearRemodAdd_1965,Hip,CompShg,Ext1_HdBoard,Ext2_HdBoard,None,0,ExtQual_TA,ExtCond_TA,CBlock,BsmtQual_TA,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_Rec,906,BsmtFinTyp2_Unf,0,134,1040,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,KitchenQual_TA,5,Typ,0,FireplaceQual_NA,Detchd,GarageYrBlt_1965,Unf,1,384,GarageQual_TA,GarageCond_TA,PavedDrive_Y,0,0,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,2,YrSold_2008,WD,Normal,129500
12,60,RL,85,11924,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Con1Norm,Con2Norm,1Fam,2Story,9,5,YearBuild_2005,YearRemodAdd_2006,Hip,CompShg,Ext1_WdShing,Ext2_Wd Shng,Stone,286,ExtQual_Ex,ExtCond_TA,PConc,BsmtQual_Ex,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_GLQ,998,BsmtFinTyp2_Unf,0,177,1175,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,KitchenQual_Ex,11,Typ,2,FireplaceQual_Gd,BuiltIn,GarageYrBlt_2005,Fin,3,736,GarageQual_TA,GarageCond_TA,PavedDrive_Y,147,21,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,7,YrSold_2006,New,Partial,345000
13,20,RL,NA,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Con1Norm,Con2Norm,1Fam,1Story,5,6,YearBuild_1962,YearRemodAdd_1962,Hip,CompShg,Ext1_HdBoard,Ext2_Plywood,None,0,ExtQual_TA,ExtCond_TA,CBlock,BsmtQual_TA,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_ALQ,737,BsmtFinTyp2_Unf,0,175,912,HeatTyp_GasA,HeatQC_TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,KitchenQual_TA,4,Typ,0,FireplaceQual_NA,Detchd,GarageYrBlt_1962,Unf,1,352,GarageQual_TA,GarageCond_TA,PavedDrive_Y,140,0,0,0,176,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,9,YrSold_2008,WD,Normal,144000
14,20,RL,91,10652,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Con1Norm,Con2Norm,1Fam,1Story,7,5,YearBuild_2006,YearRemodAdd_2007,Gable,CompShg,Ext1_VinylSd,Ext2_VinylSd,Stone,306,ExtQual_Gd,ExtCond_TA,PConc,BsmtQual_Gd,BsmtCond_TA,BsmtExpo_Av,BsmtFinTyp1_Unf,0,BsmtFinTyp2_Unf,0,1494,1494,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,KitchenQual_Gd,7,Typ,1,FireplaceQual_Gd,Attchd,GarageYrBlt_2006,RFn,3,840,GarageQual_TA,GarageCond_TA,PavedDrive_Y,160,33,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,8,YrSold_2007,New,Partial,279500
15,20,RL,NA,10920,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Con1Norm,Con2Norm,1Fam,1Story,6,5,YearBuild_1960,YearRemodAdd_1960,Hip,CompShg,Ext1_MetalSd,Ext2_MetalSd,BrkFace,212,ExtQual_TA,ExtCond_TA,CBlock,BsmtQual_TA,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_BLQ,733,BsmtFinTyp2_Unf,0,520,1253,HeatTyp_GasA,HeatQC_TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,KitchenQual_TA,5,Typ,1,FireplaceQual_Fa,Attchd,GarageYrBlt_1960,RFn,1,352,GarageQual_TA,GarageCond_TA,PavedDrive_Y,0,213,176,0,0,0,PoolQC_NA,Fence_GdWo,MisFeature_NA,0,5,YrSold_2008,WD,Normal,157000
16,45,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Con1Norm,Con2Norm,1Fam,1.5Unf,7,8,YearBuild_1929,YearRemodAdd_2001,Gable,CompShg,Ext1_Wd Sdng,Ext2_Wd Sdng,None,0,ExtQual_TA,ExtCond_TA,BrkTil,BsmtQual_TA,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_Unf,0,BsmtFinTyp2_Unf,0,832,832,HeatTyp_GasA,HeatQC_Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,KitchenQual_TA,5,Typ,0,FireplaceQual_NA,Detchd,GarageYrBlt_1991,Unf,2,576,GarageQual_TA,GarageCond_TA,PavedDrive_Y,48,112,0,0,0,0,PoolQC_NA,Fence_GdPrv,MisFeature_NA,0,7,YrSold_2007,WD,Normal,132000
17,20,RL,NA,11241,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Con1Norm,Con2Norm,1Fam,1Story,6,7,YearBuild_1970,YearRemodAdd_1970,Gable,CompShg,Ext1_Wd Sdng,Ext2_Wd Sdng,BrkFace,180,ExtQual_TA,ExtCond_TA,CBlock,BsmtQual_TA,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_ALQ,578,BsmtFinTyp2_Unf,0,426,1004,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,KitchenQual_TA,5,Typ,1,FireplaceQual_TA,Attchd,GarageYrBlt_1970,Fin,2,480,GarageQual_TA,GarageCond_TA,PavedDrive_Y,0,0,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_Shed,700,3,YrSold_2010,WD,Normal,149000
18,90,RL,72,10791,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Con1Norm,Con2Norm,Duplex,1Story,4,5,YearBuild_1967,YearRemodAdd_1967,Gable,CompShg,Ext1_MetalSd,Ext2_MetalSd,None,0,ExtQual_TA,ExtCond_NA,Slab,BsmtQual_NA,BsmtCond_NA,BsmtExpo_NA,BsmtFinTyp1_NA,0,BsmtFinTyp2_NA,0,0,0,HeatTyp_GasA,HeatQC_TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,KitchenQual_TA,6,Typ,0,FireplaceQual_NA,CarPort,GarageYrBlt_1967,Unf,2,516,GarageQual_TA,GarageCond_TA,PavedDrive_Y,0,0,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_Shed,500,10,YrSold_2006,WD,Normal,90000
19,20,RL,66,13695,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Con1RRAe,Con2Norm,1Fam,1Story,5,5,YearBuild_2004,YearRemodAdd_2004,Gable,CompShg,Ext1_VinylSd,Ext2_VinylSd,None,0,ExtQual_TA,ExtCond_TA,PConc,BsmtQual_TA,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_GLQ,646,BsmtFinTyp2_Unf,0,468,1114,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,KitchenQual_Gd,6,Typ,0,FireplaceQual_NA,Detchd,GarageYrBlt_2004,Unf,2,576,GarageQual_TA,GarageCond_TA,PavedDrive_Y,0,102,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,6,YrSold_2008,WD,Normal,159000
20,20,RL,70,7560,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Con1Norm,Con2Norm,1Fam,1Story,5,6,YearBuild_1958,YearRemodAdd_1965,Hip,CompShg,Ext1_BrkFace,Ext2_Plywood,None,0,ExtQual_TA,ExtCond_TA,CBlock,BsmtQual_TA,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_LwQ,504,BsmtFinTyp2_Unf,0,525,1029,HeatTyp_GasA,HeatQC_TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,KitchenQual_TA,6,Min1,0,FireplaceQual_NA,Attchd,GarageYrBlt_1958,Unf,1,294,GarageQual_TA,GarageCond_TA,PavedDrive_Y,0,0,0,0,0,0,PoolQC_NA,Fence_MnPrv,MisFeature_NA,0,5,YrSold_2009,COD,Abnorml,139000
21,60,RL,101,14215,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Con1Norm,Con2Norm,1Fam,2Story,8,5,YearBuild_2005,YearRemodAdd_2006,Gable,CompShg,Ext1_VinylSd,Ext2_VinylSd,BrkFace,380,ExtQual_Gd,ExtCond_TA,PConc,BsmtQual_Ex,BsmtCond_TA,BsmtExpo_Av,BsmtFinTyp1_Unf,0,BsmtFinTyp2_Unf,0,1158,1158,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,KitchenQual_Gd,9,Typ,1,FireplaceQual_Gd,BuiltIn,GarageYrBlt_2005,RFn,3,853,GarageQual_TA,GarageCond_TA,PavedDrive_Y,240,154,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,11,YrSold_2006,New,Partial,325300
22,45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Con1Norm,Con2Norm,1Fam,1.5Unf,7,7,YearBuild_1930,YearRemodAdd_1950,Gable,CompShg,Ext1_Wd Sdng,Ext2_Wd Sdng,None,0,ExtQual_TA,ExtCond_TA,PConc,BsmtQual_TA,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_Unf,0,BsmtFinTyp2_Unf,0,637,637,HeatTyp_GasA,HeatQC_Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,KitchenQual_Gd,6,Typ,1,FireplaceQual_Gd,Attchd,GarageYrBlt_1930,Unf,1,280,GarageQual_TA,GarageCond_TA,PavedDrive_N,0,0,205,0,0,0,PoolQC_NA,Fence_GdPrv,MisFeature_NA,0,6,YrSold_2007,WD,Normal,139400
23,20,RL,75,9742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Con1Norm,Con2Norm,1Fam,1Story,8,5,YearBuild_2002,YearRemodAdd_2002,Hip,CompShg,Ext1_VinylSd,Ext2_VinylSd,BrkFace,281,ExtQual_Gd,ExtCond_TA,PConc,BsmtQual_Gd,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_Unf,0,BsmtFinTyp2_Unf,0,1777,1777,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,KitchenQual_Gd,7,Typ,1,FireplaceQual_Gd,Attchd,GarageYrBlt_2002,RFn,2,534,GarageQual_TA,GarageCond_TA,PavedDrive_Y,171,159,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,9,YrSold_2008,WD,Normal,230000
24,120,RM,44,4224,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Con1Norm,Con2Norm,TwnhsE,1Story,5,7,YearBuild_1976,YearRemodAdd_1976,Gable,CompShg,Ext1_CemntBd,Ext2_CmentBd,None,0,ExtQual_TA,ExtCond_TA,PConc,BsmtQual_Gd,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_GLQ,840,BsmtFinTyp2_Unf,0,200,1040,HeatTyp_GasA,HeatQC_TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,KitchenQual_TA,6,Typ,1,FireplaceQual_TA,Attchd,GarageYrBlt_1976,Unf,2,572,GarageQual_TA,GarageCond_TA,PavedDrive_Y,100,110,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,6,YrSold_2007,WD,Normal,129900
25,20,RL,NA,8246,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Con1Norm,Con2Norm,1Fam,1Story,5,8,YearBuild_1968,YearRemodAdd_2001,Gable,CompShg,Ext1_Plywood,Ext2_Plywood,None,0,ExtQual_TA,ExtCond_TA,CBlock,BsmtQual_TA,BsmtCond_TA,BsmtExpo_Mn,BsmtFinTyp1_Rec,188,BsmtFinTyp2_ALQ,668,204,1060,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,KitchenQual_Gd,6,Typ,1,FireplaceQual_TA,Attchd,GarageYrBlt_1968,Unf,1,270,GarageQual_TA,GarageCond_TA,PavedDrive_Y,406,90,0,0,0,0,PoolQC_NA,Fence_MnPrv,MisFeature_NA,0,5,YrSold_2010,WD,Normal,154000
26,20,RL,110,14230,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Con1Norm,Con2Norm,1Fam,1Story,8,5,YearBuild_2007,YearRemodAdd_2007,Gable,CompShg,Ext1_VinylSd,Ext2_VinylSd,Stone,640,ExtQual_Gd,ExtCond_TA,PConc,BsmtQual_Gd,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_Unf,0,BsmtFinTyp2_Unf,0,1566,1566,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,KitchenQual_Gd,7,Typ,1,FireplaceQual_Gd,Attchd,GarageYrBlt_2007,RFn,3,890,GarageQual_TA,GarageCond_TA,PavedDrive_Y,0,56,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,7,YrSold_2009,WD,Normal,256300
27,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Con1Norm,Con2Norm,1Fam,1Story,5,7,YearBuild_1951,YearRemodAdd_2000,Gable,CompShg,Ext1_Wd Sdng,Ext2_Wd Sdng,None,0,ExtQual_TA,ExtCond_TA,CBlock,BsmtQual_TA,BsmtCond_TA,BsmtExpo_Mn,BsmtFinTyp1_BLQ,234,BsmtFinTyp2_Rec,486,180,900,HeatTyp_GasA,HeatQC_TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,KitchenQual_Gd,5,Typ,0,FireplaceQual_NA,Detchd,GarageYrBlt_2005,Unf,2,576,GarageQual_TA,GarageCond_TA,PavedDrive_Y,222,32,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,5,YrSold_2010,WD,Normal,134800
28,20,RL,98,11478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Con1Norm,Con2Norm,1Fam,1Story,8,5,YearBuild_2007,YearRemodAdd_2008,Gable,CompShg,Ext1_VinylSd,Ext2_VinylSd,Stone,200,ExtQual_Gd,ExtCond_TA,PConc,BsmtQual_Ex,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_GLQ,1218,BsmtFinTyp2_Unf,0,486,1704,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,KitchenQual_Gd,7,Typ,1,FireplaceQual_Gd,Attchd,GarageYrBlt_2008,RFn,3,772,GarageQual_TA,GarageCond_TA,PavedDrive_Y,0,50,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,5,YrSold_2010,WD,Normal,306000
29,20,RL,47,16321,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Con1Norm,Con2Norm,1Fam,1Story,5,6,YearBuild_1957,YearRemodAdd_1997,Gable,CompShg,Ext1_MetalSd,Ext2_MetalSd,None,0,ExtQual_TA,ExtCond_TA,CBlock,BsmtQual_TA,BsmtCond_TA,BsmtExpo_Gd,BsmtFinTyp1_BLQ,1277,BsmtFinTyp2_Unf,0,207,1484,HeatTyp_GasA,HeatQC_TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,KitchenQual_TA,6,Typ,2,FireplaceQual_Gd,Attchd,GarageYrBlt_1957,RFn,1,319,GarageQual_TA,GarageCond_TA,PavedDrive_Y,288,258,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,12,YrSold_2006,WD,Normal,207500
30,30,RM,60,6324,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Con1Feedr,Con2RRNn,1Fam,1Story,4,6,YearBuild_1927,YearRemodAdd_1950,Gable,CompShg,Ext1_MetalSd,Ext2_MetalSd,None,0,ExtQual_TA,ExtCond_TA,BrkTil,BsmtQual_TA,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_Unf,0,BsmtFinTyp2_Unf,0,520,520,HeatTyp_GasA,HeatQC_Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,KitchenQual_Fa,4,Typ,0,FireplaceQual_NA,Detchd,GarageYrBlt_1920,Unf,1,240,GarageQual_Fa,GarageCond_TA,PavedDrive_Y,49,0,87,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,5,YrSold_2008,WD,Normal,68500
